channel_250x250 [! GSX1 CG=250*250*1
3
aff_cat
ang_cat
sand_prop
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.45 
2 1 0.45 
2 1 0.45 
2 1 0.4 
2 1 0.45 
2 1 0.5 
2 1 0.5 
2 1 0.55 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.7 
2 1 0.7 
2 1 0.7 
2 1 0.7 
2 1 0.5 
2 1 0.45 
2 1 0.4 
2 1 0.35 
2 1 0.35 
2 1 0.25 
2 1 0.3 
2 1 0.2 
2 1 0.25 
2 1 0.2 
2 1 0.2 
2 1 0.15 
2 1 0.2 
2 1 0.2 
2 1 0.2 
2 1 0.25 
2 1 0.25 
2 1 0.4 
0 0 0.85 
0 0 0.9 
0 0 0.85 
0 0 0.9 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.75 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.55 
0 0 0.55 
0 0 0.5 
0 0 0.45 
0 0 0.55 
0 0 0.5 
0 0 0.55 
0 0 0.55 
0 0 0.65 
0 0 0.65 
0 0 0.75 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.5 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.65 
0 0 0.7 
0 0 0.75 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.6 
0 0 0.55 
0 0 0.5 
0 0 0.6 
0 0 0.6 
0 0 0.7 
0 0 0.7 
0 0 0.75 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.7 
0 0 0.7 
0 0 0.7 
0 0 0.7 
0 0 0.5 
0 0 0.4 
0 0 0.45 
0 0 0.5 
0 0 0.4 
0 0 0.4 
0 0 0.4 
0 0 0.4 
0 0 0.45 
1 0 0.45 
1 0 0.35 
1 0 0.4 
1 0 0.35 
1 0 0.3 
1 0 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.4 
1 1 0.35 
1 1 0.3 
1 1 0.25 
1 1 0.25 
1 1 0.2 
1 1 0.2 
1 1 0.3 
1 1 0.3 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.4 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.45 
1 1 0.55 
1 1 0.55 
1 1 0.7 
1 1 0.7 
1 1 0.75 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.85 
1 1 0.55 
1 1 0.55 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.4 
1 1 0.35 
1 1 0.3 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.25 
1 1 0.15 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0 
1 1 0 
1 1 0 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.15 
1 1 0.2 
1 1 0.35 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.55 
1 1 0.55 
1 1 0.5 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.55 
1 1 0.5 
1 1 0.55 
1 1 0.5 
2 1 0.55 
2 1 0.5 
2 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.4 
2 1 0.45 
2 1 0.45 
2 1 0.45 
2 1 0.45 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.5 
2 1 0.55 
2 1 0.4 
2 1 0.4 
2 1 0.5 
2 1 0.55 
2 1 0.55 
2 1 0.6 
2 1 0.65 
2 1 0.7 
2 1 0.7 
2 1 0.7 
2 1 0.5 
2 1 0.4 
2 1 0.35 
2 1 0.35 
2 1 0.35 
2 1 0.25 
2 1 0.15 
2 1 0.1 
2 1 0.2 
2 1 0.25 
2 1 0.25 
2 1 0.2 
2 1 0.2 
2 1 0.2 
2 1 0.2 
2 1 0.2 
2 1 0.2 
2 1 0.45 
2 1 0.5 
2 1 0.45 
0 0 0.9 
0 0 0.9 
0 0 0.95 
0 0 0.9 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.75 
0 0 0.8 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.6 
0 0 0.45 
0 0 0.45 
0 0 0.55 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.5 
0 0 0.55 
0 0 0.55 
0 0 0.6 
0 0 0.55 
0 0 0.65 
0 0 0.65 
0 0 0.75 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.9 
0 0 0.75 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.5 
0 0 0.5 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.75 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.7 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.55 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.7 
0 0 0.75 
0 0 0.8 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.75 
0 0 0.7 
0 0 0.7 
0 0 0.75 
0 0 0.6 
0 0 0.45 
0 0 0.4 
0 0 0.4 
0 0 0.4 
0 0 0.45 
0 0 0.4 
0 0 0.4 
0 0 0.45 
0 0 0.4 
0 0 0.35 
1 0 0.35 
1 0 0.35 
1 0 0.35 
1 0 0.25 
1 1 0.2 
1 1 0.35 
1 1 0.4 
1 1 0.4 
1 1 0.4 
1 1 0.35 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.4 
1 1 0.45 
1 1 0.5 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.55 
1 1 0.45 
1 1 0.6 
1 1 0.65 
1 1 0.75 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.7 
1 1 0.65 
1 1 0.6 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.3 
1 1 0.3 
1 1 0.25 
1 1 0.2 
1 1 0.2 
1 1 0.2 
1 1 0.1 
1 1 0.1 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.05 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0.15 
1 1 0.15 
1 1 0.2 
1 1 0.15 
1 1 0.25 
1 1 0.3 
1 1 0.4 
1 1 0.4 
1 1 0.4 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.4 
1 1 0.5 
1 1 0.5 
1 1 0.55 
1 1 0.6 
1 1 0.65 
1 1 0.65 
1 1 0.65 
1 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.6 
2 1 0.6 
2 1 0.5 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.55 
2 1 0.6 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.4 
2 1 0.5 
2 1 0.6 
2 1 0.55 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.7 
2 1 0.7 
2 1 0.6 
2 1 0.55 
2 1 0.4 
2 1 0.35 
2 1 0.3 
2 1 0.35 
2 1 0.25 
2 1 0.2 
2 1 0.2 
2 1 0.3 
2 1 0.35 
2 1 0.35 
2 1 0.3 
2 1 0.3 
2 1 0.25 
2 1 0.3 
2 1 0.35 
2 1 0.45 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.5 
0 0 0.95 
0 0 0.9 
0 0 0.95 
0 0 0.9 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.9 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.7 
0 0 0.65 
0 0 0.45 
0 0 0.45 
0 0 0.45 
0 0 0.5 
0 0 0.55 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.55 
0 0 0.4 
0 0 0.55 
0 0 0.6 
0 0 0.55 
0 0 0.5 
0 0 0.65 
0 0 0.7 
0 0 0.75 
0 0 0.75 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.5 
0 0 0.5 
0 0 0.6 
0 0 0.65 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.75 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.6 
0 0 0.55 
0 0 0.7 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.65 
0 0 0.55 
0 0 0.5 
0 0 0.4 
0 0 0.4 
0 0 0.4 
0 0 0.45 
0 0 0.45 
0 0 0.45 
0 0 0.4 
0 0 0.5 
0 0 0.5 
0 0 0.4 
0 0 0.4 
1 0 0.3 
1 0 0.25 
1 1 0.2 
1 1 0.35 
1 1 0.4 
1 1 0.4 
1 1 0.4 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.3 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.25 
1 1 0.35 
1 1 0.35 
1 1 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.4 
1 1 0.5 
1 1 0.5 
1 1 0.6 
1 1 0.65 
1 1 0.75 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.75 
1 1 0.8 
1 1 0.65 
1 1 0.65 
1 1 0.55 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.4 
1 1 0.35 
1 1 0.4 
1 1 0.3 
1 1 0.25 
1 1 0.25 
1 1 0.2 
1 1 0.2 
1 1 0.25 
1 1 0.2 
1 1 0.15 
1 1 0.1 
1 1 0.1 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.15 
1 1 0.2 
1 1 0.25 
1 1 0.25 
1 1 0.3 
1 1 0.35 
1 1 0.4 
1 1 0.45 
1 1 0.5 
1 1 0.45 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.55 
1 1 0.55 
1 1 0.6 
1 1 0.6 
1 1 0.65 
1 1 0.65 
1 1 0.65 
1 1 0.65 
2 1 0.7 
2 1 0.6 
2 1 0.6 
2 1 0.55 
2 1 0.55 
2 1 0.6 
2 1 0.6 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.6 
2 1 0.55 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.55 
2 1 0.5 
2 1 0.4 
2 1 0.35 
2 1 0.4 
2 1 0.5 
2 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.7 
2 1 0.55 
2 1 0.55 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.3 
2 1 0.25 
2 1 0.3 
2 1 0.35 
2 1 0.4 
2 1 0.35 
2 1 0.35 
2 1 0.35 
2 1 0.3 
2 1 0.35 
2 1 0.4 
2 1 0.55 
2 1 0.6 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.5 
0 0 0.9 
0 0 0.95 
0 0 0.95 
0 0 0.9 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.75 
0 0 0.65 
0 0 0.65 
0 0 0.45 
0 0 0.45 
0 0 0.45 
0 0 0.5 
0 0 0.5 
0 0 0.55 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.5 
0 0 0.5 
0 0 0.55 
0 0 0.6 
0 0 0.6 
0 0 0.55 
0 0 0.7 
0 0 0.75 
0 0 0.75 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.9 
0 0 0.85 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.5 
0 0 0.5 
0 0 0.5 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.7 
0 0 0.65 
0 0 0.55 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.7 
0 0 0.7 
0 0 0.75 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.75 
0 0 0.85 
0 0 0.9 
0 0 0.9 
0 0 0.9 
0 0 0.9 
0 0 0.7 
0 0 0.6 
0 0 0.55 
0 0 0.55 
0 0 0.45 
0 0 0.4 
0 0 0.45 
0 0 0.45 
0 0 0.5 
0 0 0.45 
0 0 0.45 
0 0 0.55 
0 0 0.55 
0 0 0.5 
0 0 0.45 
0 0 0.45 
0 0 0.35 
1 1 0.25 
1 1 0.3 
1 1 0.4 
1 1 0.4 
1 1 0.35 
1 1 0.4 
1 1 0.4 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.35 
1 1 0.4 
1 1 0.5 
1 1 0.5 
1 1 0.55 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.55 
1 1 0.75 
1 1 0.75 
1 1 0.75 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.8 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.8 
1 1 0.8 
1 1 0.75 
1 1 0.7 
1 1 0.6 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.4 
1 1 0.35 
1 1 0.35 
1 1 0.4 
1 1 0.3 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.2 
1 1 0.2 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.2 
1 1 0.25 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.4 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.55 
1 1 0.55 
1 1 0.6 
1 1 0.65 
1 1 0.7 
1 1 0.65 
1 1 0.7 
1 1 0.8 
1 1 0.75 
1 1 0.65 
2 1 0.65 
2 1 0.55 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.6 
2 1 0.6 
2 1 0.55 
2 1 0.55 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.35 
2 1 0.55 
2 1 0.65 
2 1 0.6 
2 1 0.65 
2 1 0.6 
2 1 0.55 
2 1 0.55 
2 1 0.45 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.4 
2 1 0.35 
2 1 0.2 
2 1 0.2 
2 1 0.3 
2 1 0.3 
2 1 0.3 
2 1 0.35 
2 1 0.4 
2 1 0.35 
2 1 0.35 
2 1 0.35 
2 1 0.5 
2 1 0.5 
2 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.5 
2 1 0.5 
2 1 0.5 
0 0 0.95 
0 0 0.95 
0 0 0.95 
0 0 0.9 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.7 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.8 
0 0 0.85 
0 0 0.9 
0 0 0.85 
0 0 0.8 
0 0 0.7 
0 0 0.7 
0 0 0.75 
0 0 0.55 
0 0 0.6 
0 0 0.45 
0 0 0.4 
0 0 0.35 
0 0 0.5 
0 0 0.45 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.45 
0 0 0.5 
0 0 0.45 
0 0 0.55 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.75 
0 0 0.75 
0 0 0.75 
0 0 0.85 
0 0 0.9 
0 0 0.9 
0 0 0.95 
0 0 0.65 
0 0 0.55 
0 0 0.5 
0 0 0.5 
0 0 0.45 
0 0 0.5 
0 0 0.4 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.55 
0 0 0.65 
0 0 0.7 
0 0 0.7 
0 0 0.5 
0 0 0.5 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.55 
0 0 0.65 
0 0 0.7 
0 0 0.75 
0 0 0.65 
0 0 0.75 
0 0 0.75 
0 0 0.8 
0 0 0.75 
0 0 0.75 
0 0 0.85 
0 0 0.9 
0 0 0.85 
0 0 0.85 
0 0 0.75 
0 0 0.55 
0 0 0.5 
0 0 0.5 
0 0 0.4 
0 0 0.4 
0 0 0.35 
0 0 0.5 
0 0 0.5 
0 0 0.5 
0 0 0.5 
0 0 0.55 
0 0 0.55 
0 0 0.5 
0 0 0.45 
0 0 0.35 
0 0 0.35 
0 0 0.25 
0 0 0.3 
1 1 0.4 
1 1 0.45 
1 1 0.4 
1 1 0.4 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.5 
1 1 0.45 
1 1 0.45 
1 1 0.4 
1 1 0.55 
1 1 0.6 
1 1 0.7 
1 1 0.75 
1 1 0.8 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.75 
1 1 0.8 
1 1 0.7 
1 1 0.8 
1 1 0.75 
1 1 0.75 
1 1 0.65 
1 1 0.65 
1 1 0.65 
1 1 0.55 
1 1 0.5 
1 1 0.4 
1 1 0.4 
1 1 0.35 
1 1 0.3 
1 1 0.35 
1 1 0.35 
1 1 0.35 
1 1 0.25 
1 1 0.3 
1 1 0.25 
1 1 0.25 
1 1 0.2 
1 1 0.15 
1 1 0.1 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.15 
1 1 0.2 
1 1 0.25 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.4 
1 1 0.4 
1 1 0.5 
1 1 0.55 
1 1 0.6 
1 1 0.55 
1 1 0.6 
1 1 0.6 
1 1 0.65 
1 1 0.7 
1 1 0.7 
1 1 0.75 
1 1 0.8 
1 1 0.8 
1 1 0.8 
1 1 0.6 
1 1 0.7 
1 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.6 
2 1 0.7 
2 1 0.7 
2 1 0.6 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.4 
2 1 0.3 
2 1 0.45 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.5 
2 1 0.5 
2 1 0.45 
2 1 0.35 
2 1 0.3 
2 1 0.35 
2 1 0.35 
2 1 0.35 
2 1 0.25 
2 1 0.25 
2 1 0.15 
2 1 0.25 
2 1 0.3 
2 1 0.3 
2 1 0.35 
2 1 0.35 
2 1 0.35 
2 1 0.4 
2 1 0.45 
2 1 0.5 
2 1 0.5 
2 1 0.65 
2 1 0.65 
2 1 0.6 
2 1 0.6 
2 1 0.55 
2 1 0.5 
2 1 0.45 
0 0 0.95 
0 0 0.9 
0 0 0.95 
0 0 0.9 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.85 
0 0 0.85 
0 0 0.9 
0 0 0.7 
0 0 0.75 
0 0 0.7 
0 0 0.7 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.5 
0 0 0.4 
0 0 0.45 
0 0 0.45 
0 0 0.5 
0 0 0.55 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.5 
0 0 0.45 
0 0 0.5 
0 0 0.55 
0 0 0.55 
0 0 0.55 
0 0 0.7 
0 0 0.75 
0 0 0.75 
0 0 0.8 
0 0 0.9 
0 0 0.9 
0 0 0.95 
0 0 0.9 
0 0 0.8 
0 0 0.65 
0 0 0.55 
0 0 0.55 
0 0 0.55 
0 0 0.5 
0 0 0.45 
0 0 0.45 
0 0 0.5 
0 0 0.6 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.7 
0 0 0.6 
0 0 0.55 
0 0 0.55 
0 0 0.65 
0 0 0.65 
0 0 0.7 
0 0 0.7 
0 0 0.6 
0 0 0.6 
0 0 0.65 
0 0 0.75 
0 0 0.85 
0 0 0.75 
0 0 0.75 
0 0 0.75 
0 0 0.75 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.7 
0 0 0.65 
0 0 0.65 
0 0 0.6 
0 0 0.65 
0 0 0.6 
0 0 0.6 
0 0 0.75 
0 0 0.8 
0 0 0.7 
0 0 0.7 
0 0 0.65 
0 0 0.55 
0 0 0.5 
0 0 0.45 
0 0 0.5 
0 0 0.55 
0 0 0.5 
0 0 0.4 
0 0 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.4 
1 1 0.35 
1 1 0.35 
1 1 0.35 
1 1 0.4 
1 1 0.45 
1 1 0.45 
1 1 0.5 
1 1 0.5 
1 1 0.55 
1 1 0.55 
1 1 0.55 
1 1 0.55 
1 1 0.6 
1 1 0.6 
1 1 0.55 
1 1 0.6 
1 1 0.7 
1 1 0.8 
1 1 0.85 
1 1 0.85 
1 1 0.9 
1 1 0.85 
1 1 0.85 
1 1 0.75 
1 1 0.8 
1 1 0.7 
1 1 0.75 
1 1 0.75 
1 1 0.75 
1 1 0.7 
1 1 0.7 
1 1 0.65 
1 1 0.6 
1 1 0.55 
1 1 0.45 
1 1 0.45 
1 1 0.45 
1 1 0.35 
1 1 0.4 
1 1 0.35 
1 1 0.35 
1 1 0.3 
1 1 0.25 
1 1 0.25 
1 1 0.25 
1 1 0.2 
1 1 0.2 
1 1 0.15 
1 1 0.15 
1 1 0.1 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.05 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.1 
1 1 0.2 
1 1 0.25 
1 1 0.25 
1 1 0.3 
1 1 0.3 
1 1 0.35 
1 1 0.4 
1 1 0.4 
1 1 0.45 
1 1 0.6 
1 1 0.65 
1 1 0.6 
1 1 0.7 
1 1 0.7 
1 1 0.7 
1 1 0.7 
1 1 0.75 
1 1 0.75 
1 1 0.85 
1 1 0.85 
1 1 0.85 
1 1 0.7 
1 1 0.7 
1 1 0.7 
1 1 0.6 
1 1 0.6 
2 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.7 
2 1 0.75 
2 1 0.65 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.55 
2 1 0.6 
2 1 0.5 
2 1 0.45 
2 1 0.35 
2 1 0.5 
2 1 0.45 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.45 
2 1 0.45 
2 1 0.45 
2 1 0.4 
2 1 0.35 
2 1 0.4 
2 1 0.3 
2 1 0.4 
2 1 0.35 
2 1 0.35 
2 1 0.3 
2 1 0.25 
2 1 0.35 
2 1 0.35 
2 1 0.4 
2 1 0.45 
2 1 0.45 
2 1 0.5 
2 1 0.5 
2 1 0.5 
2 1 0.55 
2 1 0.6 
2 1 0.6 
2 1 0.65 
2 1 0.65 
2 1 0.65 
2 1 0.7 
2 1 0.6 
2 1 0.45 
0 0 0.9 
0 0 0.95 
0 0 0.95 
0 0 0.95 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.95 
0 0 0.85 
0 0 0.85 
0 0 0.85 
0 0 0.9 
0 0 0.85 
0 0 0.8 
0 0 0.75 
0 0 0.7 
0 0 0.7 
0 0 0.7 
0 0 0.65 
0 0 0.6 
